Date,MaxT,MeanT,MinT,MaxDewPoint,MeanDewPoint,MinDewpoint,MaxHumidity,MeanHumidity,MinHumidity,MaxSLP,MeanSLP,MinSLP,MaxVisibility,MeanVisibility,MinVisibility,MaxWindSpeed,MeanWindSpeed,MaxGustSpeed,Precipitation,CloudCover,Events,WindDirDegrees
2016-1-1,11.015,4.740,-1.023,10.022,5.934,-1.215,100,88,64,1016.863,1006.107,993.990,10.000,9.000,5.000,47.136,34.109,65.891,7.907,4.015,Rain,140
2016-1-2,12.110,9.234,7.336,11.142,9.260,3.149,100,91,68,1004.285,997.128,987.974,10.000,9.000,4.000,40.195,26.020,60.215,4.148,5.027,Rain,265
2016-1-3,10.982,9.191,5.984,10.065,7.419,3.051,100,83,64,991.137,984.704,983.109,10.000,9.000,4.000,48.225,26.205,70.923,9.241,2.184,Rain,209
2016-1-4,11.058,8.997,7.165,8.277,7.337,6.011,93,84,66,980.974,980.888,980.180,10.000,10.000,10.000,29.209,18.184,,1.022,2.006,Rain,216
2016-1-5,10.396,7.895,6.057,8.268,6.104,3.974,100,88,69,988.995,985.124,980.061,10.000,10.000,10.000,26.207,11.183,,0.367,3.002,Rain,230
2016-1-6,9.105,7.082,4.377,8.093,6.119,2.887,100,87,63,997.729,993.103,984.881,10.000,10.000,6.000,40.218,14.043,59.880,0.336,2.934,Rain,226
2016-1-7,10.874,5.736,1.884,11.055,4.143,1.079,100,82,56,999.815,992.211,980.101,10.000,9.000,6.000,47.225,27.126,71.128,0.851,1.901,Rain,257
2016-1-8,10.892,5.169,-0.992,8.004,5.205,-1.096,100,89,65,999.971,997.285,994.711,10.000,10.000,10.000,16.286,8.139,,1.157,1.080,Rain,192
2016-1-9,9.715,7.037,4.211,9.140,7.058,2.991,100,88,66,994.859,985.185,978.922,10.000,9.000,6.000,45.323,19.048,77.086,10.978,4.050,Rain,198
2016-1-10,9.200,5.880,2.895,5.180,3.020,1.039,100,77,52,984.906,984.878,983.950,10.000,10.000,10.000,23.232,13.293,,4.170,1.897,Rain,200
2016-1-11,9.301,4.047,1.241,6.171,4.177,1.069,100,90,68,994.091,985.064,978.080,10.000,9.000,3.000,23.206,8.042,,0.483,2.026,Fog-Rain,288
2016-1-12,6.662,6.241,3.790,5.192,2.400,-0.173,93,75,55,1014.248,1005.099,995.187,10.000,10.000,10.000,40.081,24.032,64.096,1.026,3.086,Rain,293
2016-1-13,8.648,2.783,-1.793,5.342,2.148,-2.148,100,82,56,1017.165,1012.740,1006.955,10.000,10.000,10.000,23.369,10.230,,0.634,2.053,Rain,215
2016-1-14,7.380,3.950,0.956,4.087,1.132,-2.074,100,81,49,1018.086,1011.954,1005.856,10.000,10.000,8.000,32.021,16.135,39.803,0.781,2.053,Rain,306
2016-1-15,5.987,2.717,1.355,3.056,1.070,-0.728,100,81,66,1027.856,1024.791,1018.073,10.000,10.000,10.000,32.107,14.218,,1.080,0.800,Rain,311
2016-1-16,6.164,2.089,-1.632,4.134,1.204,-1.883,100,90,72,1031.096,1029.002,1027.908,10.000,10.000,10.000,11.217,5.050,,0.000,1.138,,163
2016-1-17,8.240,4.094,0.092,8.116,5.122,1.596,100,96,77,1024.032,1019.751,1015.001,10.000,7.000,3.000,24.038,8.062,,0.043,4.912,Fog-Rain,127
2016-1-18,5.901,5.166,4.002,5.969,4.228,0.906,100,91,73,1013.076,1010.070,1008.138,10.000,9.000,5.000,29.316,23.057,,10.950,5.924,Rain,117
2016-1-19,5.997,1.005,-2.934,1.032,-1.950,-3.993,100,82,42,1018.308,1015.604,1012.914,10.000,10.000,10.000,23.072,10.204,,0.000,0.940,,49
2016-1-20,6.852,0.797,-5.154,3.180,-0.877,-4.830,100,84,58,1018.765,1017.912,1017.033,10.000,10.000,10.000,21.100,10.007,,0.000,3.082,,104
2016-1-21,8.960,4.187,0.090,8.439,5.638,3.208,100,94,80,1018.256,1016.658,1015.965,10.000,7.000,4.000,29.124,23.122,,1.147,6.243,Rain,161
2016-1-22,13.746,11.024,7.834,13.194,8.245,6.186,100,87,56,1025.130,1016.167,1010.168,10.000,8.000,4.000,34.134,23.072,,2.077,3.798,Rain,223
2016-1-23,12.836,6.905,2.127,12.936,7.624,1.319,100,96,80,1028.976,1027.117,1023.621,10.000,7.000,3.000,29.185,16.142,,0.765,4.251,Fog-Rain,177
2016-1-24,14.277,11.648,8.892,14.020,11.846,9.838,100,94,75,1027.004,1025.277,1022.989,10.000,9.000,7.000,24.057,16.034,,0.000,2.799,,183
2016-1-25,13.785,9.923,5.941,12.126,8.165,4.225,100,85,65,1023.991,1019.040,1016.219,10.000,10.000,6.000,35.459,21.182,70.927,0.000,3.982,,201
2016-1-26,13.319,9.063,3.821,12.112,9.025,6.471,100,88,67,1023.191,1013.865,1009.853,10.000,10.000,8.000,45.045,27.058,69.064,1.189,6.136,Rain,207
2016-1-27,12.872,8.984,4.921,13.038,9.088,2.902,100,87,67,1018.760,1010.020,1006.072,10.000,10.000,7.000,39.114,29.050,59.942,0.514,3.844,Rain,254
2016-1-28,10.675,4.765,-1.289,9.052,4.001,-0.883,100,81,54,1025.968,1024.259,1019.909,10.000,10.000,10.000,32.200,13.024,,0.422,3.102,Rain,222
2016-1-29,12.034,9.799,8.143,11.136,9.013,6.783,100,85,69,1023.305,1018.302,1011.150,10.000,10.000,10.000,35.110,26.186,63.038,0.626,3.889,Rain,226
2016-1-30,8.085,5.920,3.871,9.578,4.262,1.114,100,81,51,1014.060,1011.954,1009.908,10.000,10.000,10.000,35.171,21.152,45.408,1.160,2.149,Rain,263
2016-1-31,14.290,8.869,2.929,12.173,9.076,2.187,100,89,76,1014.921,1010.123,1006.690,10.000,10.000,8.000,42.133,26.080,73.921,0.265,6.029,Rain,258
2016-2-1,14.931,12.081,9.941,10.257,8.056,3.775,88,72,46,1019.223,1017.009,1017.276,10.000,10.000,10.000,40.123,27.015,63.059,0.000,3.725,,252
2016-2-2,9.825,6.709,4.133,6.053,4.267,1.938,93,76,55,1020.000,1017.928,1016.080,10.000,10.000,10.000,35.066,23.036,60.976,1.259,1.848,Rain,263
2016-2-3,8.128,4.119,0.919,5.311,3.075,-0.709,93,76,57,1030.984,1027.218,1020.168,10.000,10.000,10.000,40.205,19.214,60.889,0.755,2.036,Rain,280
2016-2-4,12.397,6.831,2.728,11.217,8.003,3.123,100,91,71,1029.939,1027.779,1026.097,10.000,9.000,4.000,32.033,18.142,,0.384,5.239,Rain,276
2016-2-5,10.737,8.931,8.160,10.048,8.194,6.721,100,89,68,1026.134,1015.049,1006.838,10.000,10.000,8.000,34.070,23.046,49.939,1.186,4.607,Rain,206
2016-2-6,10.560,8.066,6.051,10.792,8.151,3.108,100,93,76,1007.365,990.998,985.289,10.000,7.000,3.000,60.048,32.068,80.046,21.260,5.134,Rain,207
2016-2-7,11.281,6.953,2.900,10.051,5.376,2.016,100,81,58,995.956,992.022,985.939,10.000,9.000,6.000,37.192,26.156,54.946,2.108,4.091,Rain,232
2016-2-8,8.920,6.875,4.527,6.096,3.074,0.848,93,74,51,997.021,992.242,984.985,10.000,10.000,6.000,60.007,42.137,105.881,7.242,3.053,Rain,255
2016-2-9,7.916,5.299,2.009,4.089,2.269,-0.177,100,81,52,995.922,990.173,987.065,10.000,10.000,10.000,40.146,14.076,62.968,0.892,2.027,Rain,275
2016-2-10,7.985,2.926,-0.936,5.253,3.029,-0.914,100,85,55,1004.884,999.999,994.362,10.000,10.000,10.000,39.105,19.056,54.915,0.052,2.212,Rain,291
2016-2-11,9.919,3.835,-2.262,6.369,1.149,-2.046,100,90,55,1004.795,1001.635,997.187,10.000,7.000,0.000,26.192,6.042,,0.563,2.136,Fog-Rain,184
2016-2-12,6.862,3.135,-0.783,6.033,4.174,0.150,100,90,76,996.666,992.044,990.013,10.000,10.000,7.000,21.173,11.201,,5.218,4.024,Rain,102
2016-2-13,5.801,4.079,2.874,5.937,3.178,2.279,100,90,70,989.848,983.951,979.101,10.000,10.000,10.000,34.044,19.030,,4.087,6.223,Rain,40
2016-2-14,7.037,3.900,0.940,4.218,1.146,-2.904,100,80,54,1013.957,1001.981,989.825,10.000,9.000,8.000,32.141,16.044,,0.000,2.201,,23
2016-2-15,6.823,1.991,-2.742,1.079,-1.841,-4.869,93,70,34,1035.070,1029.957,1014.935,10.000,10.000,10.000,23.065,13.077,,0.000,0.837,,359
2016-2-16,7.905,0.911,-5.802,4.267,0.235,-7.158,100,79,48,1035.824,1031.325,1023.902,10.000,10.000,10.000,32.099,11.034,,0.000,2.246,,181
2016-2-17,7.836,5.856,3.766,8.029,5.076,2.911,100,91,65,1022.879,1011.843,1009.807,10.000,10.000,6.000,32.129,21.083,,7.167,5.023,Rain,269
2016-2-18,7.995,3.010,-1.123,4.223,2.174,-2.024,100,87,47,1019.060,1015.704,1010.861,10.000,10.000,10.000,19.228,8.120,,0.540,1.174,Rain,243
2016-2-19,10.273,2.764,-4.012,9.286,3.915,-3.309,100,91,68,1018.696,1014.006,1010.878,10.000,10.000,7.000,35.104,13.159,,0.000,4.876,,218
2016-2-20,12.906,10.979,8.876,11.068,9.108,6.988,100,86,74,1014.914,1012.827,1011.117,10.000,10.000,7.000,42.121,27.023,63.121,0.356,5.752,Rain,266
2016-2-21,16.014,13.156,11.139,12.065,10.190,9.071,88,80,59,1015.235,1012.703,1010.808,10.000,10.000,10.000,35.005,27.140,60.025,0.000,4.028,,254
2016-2-22,9.909,6.831,1.909,10.061,5.042,1.148,100,85,59,1014.180,1010.866,1008.968,10.000,9.000,4.000,21.071,13.066,,1.030,3.864,Rain,307
2016-2-23,10.014,4.084,-2.090,5.147,2.101,-2.331,100,84,45,1019.990,1018.893,1015.065,10.000,10.000,10.000,19.048,6.126,,0.000,1.999,,356
2016-2-24,8.210,3.064,-2.099,3.127,-0.991,-2.845,100,75,39,1020.086,1016.784,1014.918,10.000,10.000,10.000,23.067,10.181,,0.000,1.036,,27
2016-2-25,7.737,1.909,-3.977,2.029,-0.945,-4.930,100,78,41,1017.935,1017.228,1014.021,10.000,10.000,10.000,11.246,3.138,,0.000,1.140,,11
2016-2-26,7.921,3.045,-1.173,5.071,1.176,-1.860,100,70,41,1014.144,1005.057,1003.242,10.000,10.000,10.000,34.191,16.148,,0.336,2.021,Rain,126
2016-2-27,6.863,3.869,1.957,1.057,-0.997,-3.090,81,62,43,1016.190,1009.927,1002.829,10.000,10.000,10.000,29.007,19.083,40.276,0.000,3.054,,52
2016-2-28,8.940,4.058,0.887,2.104,-0.749,-3.094,87,67,39,1026.228,1022.134,1015.909,10.000,10.000,10.000,32.036,18.176,,0.000,2.050,,35
2016-2-29,6.726,1.112,-4.054,6.009,1.057,-5.076,100,80,53,1028.052,1025.876,1022.146,10.000,10.000,10.000,23.043,8.006,,0.149,2.938,Rain,189
2016-3-1,12.995,8.714,5.214,11.356,8.027,3.872,100,85,59,1021.238,1010.996,1005.935,10.000,10.000,8.000,39.161,24.241,65.791,2.058,5.002,Rain,252
2016-3-2,9.127,5.725,2.839,6.233,3.003,-1.239,100,75,42,1007.487,1003.917,999.986,10.000,10.000,10.000,53.085,32.078,71.883,14.032,1.793,Rain,285
2016-3-3,10.027,8.177,5.068,8.025,4.070,1.942,100,78,52,1009.655,1003.899,994.834,10.000,10.000,7.000,40.235,24.193,59.955,1.065,3.816,Rain,267
2016-3-4,7.599,2.975,-0.812,4.274,1.048,-2.000,100,80,42,994.856,992.343,989.925,10.000,10.000,10.000,23.043,13.143,,2.054,1.849,Rain,302
2016-3-5,8.776,4.904,1.258,3.178,2.359,-0.772,93,76,40,1008.216,1004.016,997.779,10.000,10.000,10.000,29.101,18.249,52.051,0.610,3.124,Rain,340
2016-3-6,6.786,1.983,-1.898,4.118,1.231,-1.887,96,75,49,1009.336,1006.819,1005.104,10.000,10.000,10.000,23.066,14.016,,0.000,1.892,,307
2016-3-7,7.966,3.038,-1.233,5.126,2.250,-3.230,100,84,61,1015.893,1012.843,1009.969,10.000,10.000,10.000,26.132,11.237,,2.262,1.920,Rain,326
2016-3-8,10.146,3.873,-1.024,9.241,4.506,-0.983,100,92,69,1016.276,1011.170,996.044,10.000,10.000,3.000,32.060,10.153,,0.595,2.942,Rain,192
2016-3-9,8.938,6.984,4.036,9.525,3.075,1.116,100,75,48,1011.709,999.908,988.914,10.000,10.000,7.000,63.055,42.513,101.052,3.114,3.814,Rain,330
2016-3-10,10.982,5.802,2.288,4.237,3.488,0.299,100,74,43,1027.181,1022.149,1013.060,10.000,10.000,10.000,24.289,14.019,,0.000,0.831,,17
2016-3-11,11.297,3.978,-3.006,5.127,2.138,-2.954,100,82,39,1028.762,1028.171,1025.905,10.000,9.000,8.000,11.021,5.120,,0.000,2.051,,113
2016-3-12,12.109,5.048,-1.909,7.234,3.166,-2.025,100,88,45,1031.916,1030.074,1028.962,10.000,8.000,5.000,13.409,5.198,,0.000,1.058,,72
2016-3-13,11.985,4.740,-2.145,6.068,3.049,-2.087,100,78,41,1033.948,1033.144,1031.822,8.000,7.000,2.000,19.113,8.319,,0.000,0.880,Fog,71
2016-3-14,10.872,7.091,1.819,4.223,1.103,-4.148,93,66,36,1033.090,1030.028,1027.764,10.000,10.000,9.000,27.069,19.034,,0.000,1.773,,54
2016-3-15,13.039,6.954,1.144,7.381,4.087,-0.027,100,74,40,1030.078,1028.777,1026.937,10.000,10.000,8.000,26.021,18.127,,0.000,4.026,,60
2016-3-16,12.237,8.103,3.475,7.366,4.303,-1.064,100,76,41,1030.019,1028.209,1027.148,10.000,9.000,4.000,29.192,18.159,,0.000,3.112,,43
2016-3-17,10.722,6.070,1.099,4.132,2.095,-0.954,100,74,41,1030.913,1029.062,1026.815,10.000,9.000,7.000,26.049,13.148,,0.000,0.996,,40
2016-3-18,8.702,3.212,-3.347,5.108,3.105,-2.742,100,86,60,1028.063,1026.124,1024.978,10.000,7.000,4.000,23.140,10.191,,0.000,3.817,,33
2016-3-19,7.602,7.047,4.979,5.075,3.044,1.794,93,76,59,1025.886,1025.860,1025.237,10.000,10.000,10.000,24.157,16.079,,0.090,5.712,Rain,61
2016-3-20,6.996,3.012,-0.265,4.125,2.107,-0.735,93,75,54,1025.841,1024.944,1023.966,10.000,10.000,10.000,23.167,16.261,,0.000,5.026,,45
2016-3-21,12.796,6.019,-3.305,6.011,3.119,-2.206,100,78,40,1025.215,1023.113,1021.175,10.000,9.000,6.000,23.021,6.110,,0.000,0.944,,334
2016-3-22,10.740,5.849,0.036,7.023,2.111,-0.940,100,83,46,1021.133,1018.444,1015.905,10.000,7.000,0.000,11.007,5.043,,0.000,5.374,Fog,70
2016-3-23,10.958,3.940,-3.010,5.015,2.201,-3.189,100,78,44,1018.146,1017.073,1016.822,10.000,9.000,6.000,21.127,6.175,,0.000,4.127,,337
2016-3-24,11.093,6.987,2.985,9.020,7.111,3.069,100,88,64,1017.254,1012.945,1008.962,10.000,10.000,10.000,29.027,13.083,,3.186,4.033,Rain,219
2016-3-25,14.011,9.035,3.839,9.285,5.148,-1.111,100,75,30,1017.189,1015.104,1009.281,10.000,10.000,10.000,32.145,13.061,,0.090,1.945,Rain,210
2016-3-26,11.841,9.289,4.918,11.992,8.454,2.828,100,90,71,1010.932,1000.418,994.163,10.000,7.000,3.000,47.346,29.140,68.981,5.321,3.659,Rain,199
2016-3-27,11.121,8.090,3.745,10.264,6.009,2.679,100,86,56,998.974,995.172,977.044,10.000,9.000,7.000,47.037,23.203,73.791,6.143,3.180,Rain,195
2016-3-28,10.353,8.172,5.216,10.055,5.277,2.278,100,81,50,997.735,993.146,977.088,10.000,10.000,7.000,47.268,26.214,73.876,3.130,1.876,Rain,250
2016-3-29,10.760,6.818,2.827,7.123,4.016,2.240,93,77,50,1003.813,1003.038,1000.995,10.000,10.000,10.000,32.003,16.030,49.895,2.107,2.054,Rain,222
2016-3-30,12.050,8.071,4.064,5.185,3.240,1.466,93,72,34,1013.077,1009.170,1005.220,10.000,10.000,10.000,23.023,13.018,,0.000,1.047,,279
2016-3-31,12.977,6.151,-1.853,5.151,2.072,-1.994,100,74,34,1020.030,1016.925,1013.208,10.000,10.000,10.000,23.172,8.165,,0.000,1.181,,348
2016-4-1,11.117,4.215,-2.155,8.342,4.270,-1.219,100,86,64,1019.876,1016.937,1013.705,10.000,10.000,10.000,34.055,14.060,,0.000,2.844,,184
2016-4-2,12.118,10.167,8.050,8.035,6.121,3.055,93,77,47,1013.263,1009.054,1004.984,10.000,10.000,8.000,29.388,23.075,,0.000,2.152,,157
2016-4-3,10.727,8.104,5.961,9.124,8.032,6.206,100,91,66,1004.054,1003.107,1001.060,10.000,9.000,6.000,24.257,14.123,,0.273,2.982,Rain,139
2016-4-4,12.048,9.167,5.878,10.084,8.040,4.931,100,90,69,1002.803,998.981,999.154,10.000,10.000,7.000,16.193,11.077,,5.148,3.001,Rain,164
2016-4-5,14.560,9.244,3.898,9.085,6.062,4.107,100,76,41,1013.039,1010.258,1007.095,10.000,10.000,10.000,32.404,13.183,,0.000,2.141,,287
2016-4-6,11.720,8.852,6.176,8.149,5.064,0.583,100,75,48,1011.900,1009.766,1008.023,10.000,10.000,8.000,40.195,23.145,54.778,1.219,3.169,Rain,273
2016-4-7,11.422,7.886,3.733,6.024,4.161,1.970,93,75,56,1014.940,1011.775,1010.082,10.000,10.000,10.000,37.199,26.024,49.918,0.020,1.778,Rain,298
2016-4-8,12.132,9.175,4.909,8.556,5.200,2.952,100,76,45,1015.001,1010.854,1003.742,10.000,10.000,8.000,27.124,13.157,,1.111,2.806,Rain,256
2016-4-9,9.333,4.696,1.047,9.080,2.109,-0.102,100,78,52,1004.956,1003.318,1001.842,10.000,10.000,8.000,27.037,13.091,47.977,1.057,1.953,Rain,230
2016-4-10,10.934,5.933,1.234,8.079,4.054,-0.116,92,74,47,1004.104,1001.014,999.077,10.000,10.000,10.000,52.280,32.021,73.970,1.196,1.811,Rain,113
2016-4-11,15.220,11.081,5.887,9.279,7.081,3.812,94,75,48,1006.860,1004.945,1003.106,10.000,10.000,8.000,26.295,14.097,,0.000,2.008,,173
2016-4-12,13.152,7.085,-0.107,8.119,6.131,0.982,100,82,53,1007.260,1006.013,1004.904,10.000,10.000,10.000,21.182,8.102,,0.000,0.921,,154
2016-4-13,15.899,8.559,2.822,9.110,7.242,3.778,100,78,38,1009.724,1007.944,1005.963,10.000,9.000,0.000,23.019,8.034,,0.000,0.984,Fog,162
2016-4-14,14.031,9.669,6.133,9.265,8.074,5.774,100,86,59,1010.096,1006.757,1002.902,10.000,10.000,8.000,24.156,10.104,,0.839,2.805,Rain,118
2016-4-15,12.777,9.140,4.988,10.100,7.354,2.946,100,85,59,1003.086,1000.133,997.937,10.000,9.000,2.000,32.053,14.116,,4.128,3.998,Rain,2
2016-4-16,10.003,6.020,2.089,4.027,2.045,-1.074,88,70,34,1011.837,1006.163,1001.918,10.000,10.000,10.000,26.029,14.103,,0.038,1.999,Rain,339
2016-4-17,12.271,4.040,-1.825,4.081,1.305,-1.907,96,67,30,1020.954,1016.868,1011.962,10.000,10.000,10.000,16.246,8.286,,0.000,0.799,,318
2016-4-18,10.984,3.908,-0.949,5.018,3.051,-2.059,95,74,57,1027.001,1023.894,1021.851,10.000,10.000,10.000,19.218,6.119,,0.000,5.977,,290
2016-4-19,15.093,6.977,-1.197,8.376,4.072,-0.991,100,74,40,1028.270,1027.972,1027.012,10.000,10.000,10.000,16.125,6.018,,0.000,2.923,,108
2016-4-20,17.176,10.145,2.791,6.029,3.029,-2.076,88,59,18,1028.050,1025.740,1022.953,,,,32.110,13.059,,0.000,,,78
2016-4-21,14.013,11.097,8.050,8.064,6.018,0.040,82,66,40,1024.107,1020.980,1019.896,10.000,10.000,10.000,23.199,14.149,,0.000,1.104,,68
2016-4-22,10.838,8.736,6.900,8.264,6.138,1.909,95,86,52,1020.272,1018.963,1018.244,10.000,8.000,6.000,16.050,11.027,,6.112,7.006,Rain,37
2016-4-23,11.832,7.936,4.033,7.301,2.025,-3.033,93,64,26,1022.840,1022.328,1018.934,10.000,10.000,8.000,29.119,14.303,,0.000,2.112,,9
2016-4-24,13.282,7.928,3.137,4.095,2.002,-1.042,91,63,28,1022.863,1022.247,1021.302,10.000,10.000,10.000,29.106,16.111,,0.143,1.025,Rain,321
2016-4-25,11.079,8.067,3.779,7.083,4.022,-0.283,95,73,40,1015.986,1012.212,1010.127,10.000,10.000,7.000,34.155,23.010,49.958,2.212,2.954,Rain,306
2016-4-26,10.970,7.051,2.246,2.103,0.048,-1.852,81,60,35,1012.933,1010.900,1010.171,10.000,10.000,10.000,45.270,21.359,63.862,0.000,2.203,,316
2016-4-27,11.116,5.092,-1.155,3.113,1.093,-2.113,94,66,39,1016.049,1013.995,1013.181,10.000,10.000,10.000,32.017,14.051,,0.272,1.857,Rain,314
2016-4-28,12.688,5.945,-3.227,6.071,2.163,-3.879,100,70,31,1015.904,1012.913,1011.063,10.000,10.000,8.000,32.152,13.010,58.038,0.603,1.841,Rain,258
2016-4-29,11.078,6.931,2.638,5.118,2.225,-1.010,87,66,38,1017.111,1012.974,1011.021,10.000,10.000,10.000,35.169,18.079,62.734,0.868,1.530,Rain,286
2016-4-30,13.259,6.115,-1.539,5.081,1.118,-3.293,100,63,23,1027.016,1023.150,1016.766,10.000,10.000,10.000,27.208,11.192,,0.000,2.159,,303
